Complexity,Loss,Equation
1,58101.492,"0.096210465"
3,56814.664,"x1 ^ -0.8968851"
4,42028.188,"0.27592757 / sqrt(x1)"
5,41890.844,"0.30630848 / (x1 ^ 0.5443693)"
7,40629.434,"sqrt(exp(x2) / (x1 * 24.792517))"
8,40099.7,"((0.07166757 / x1) ^ 0.5444715) / cos(x2)"
11,39340.844,"((x0 * 0.0010968065) + x2) / sqrt(x1 * sqrt(x0))"
12,39333.35,"sin(((x0 * 0.0010968065) + x2) / sqrt(x1 * sqrt(x0)))"
13,39048.41,"sqrt((x0 + (17.924026 ^ exp(x2))) * (0.019629166 / (x1 * 329.18118)))"
14,38938.3,"sqrt((((x0 + x1) + (1741.8701 ^ x2)) * 0.05575389) / (x1 * 805.34216))"
15,38871.41,"sqrt(((17.924026 ^ exp(x2)) + (x0 + x1)) * (0.019629166 / (x1 * 329.18118)))"
16,38799.652,"sqrt((((x0 + x1) * 0.016254095) + ((x2 + x2) ^ 5.076646)) / (x1 * 258.5383))"
17,38796.094,"sqrt(((((x0 / 0.66818756) + x1) + exp(x2 * 8.193332)) * 0.014880854) / (x1 * 330.01672))"
18,38791.574,"sin(sqrt(((((x0 / 0.66818756) + x1) + exp(x2 * 8.193332)) * 0.014880854) / (x1 * 330.01672)))"
19,38697.727,"sqrt((((x2 + sin(x2)) ^ 5.3155417) + (((x1 + x0) * 0.014913075) + -3.7607582)) / (x1 * 187.40794))"
21,38665.23,"sqrt(((((sin(x2) + x2) ^ 5.3155417) + (0.014913075 * (x1 + x0))) + -3.7607582) / (x1 * 187.40794)) / 0.97485995"
22,38653.25,"(((x0 ^ x2) + (x2 ^ (((x0 + x1) * x2) * -0.010486202))) ^ 0.21940729) * sqrt(0.2551084 / (x1 * 26.780052))"
23,38505.344,"sqrt((((sin(x2) + x2) ^ 5.3155417) + ((0.014913075 * ((0.34698832 * x1) + x0)) + -3.7607582)) / (x1 * 187.40794)) / 0.9795376"
24,38501.63,"(((x0 ^ x2) + (x2 ^ (((x1 + x0) * (x2 * -0.010486202)) + -0.3735114))) ^ 0.21940729) * sqrt(0.2551084 / (26.780052 * x1))"
26,38489.027,"sqrt(0.2551084 / (x1 * 26.780052)) * (((x2 ^ ((x1 + x0) * (x2 * -0.010486202))) + ((1.5295638 / x2) + (x0 ^ x2))) ^ 0.21940729)"
28,38152.254,"sqrt(0.33470058 / (x1 * 65.51335)) * (((x2 ^ ((x1 + x0) * (x2 * -0.011040841))) + (((x0 ^ x2) + 0.460739) + (307.961 / x1))) ^ 0.26521996)"
